timestamp,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base_vol,taker_buy_quote_vol,ignore
2022-07-31,43.84000000,45.21000000,42.22000000,42.35000000,3287571.37000000,2022-07-31 23:59:59.999,143781304.35120000,264416,1636293.21000000,71611451.81760000,0
2022-08-01,42.34000000,43.26000000,40.57000000,41.65000000,3302835.44000000,2022-08-01 23:59:59.999,139083404.46310000,238614,1631574.65000000,68745604.62550000,0
2022-08-02,41.65000000,42.45000000,39.50000000,39.79000000,3598240.96000000,2022-08-02 23:59:59.999,147271230.04300000,283917,1802559.69000000,73850160.97410000,0
2022-08-03,39.78000000,40.99000000,37.43000000,38.54000000,8391441.54000000,2022-08-03 23:59:59.999,328867086.34930000,566505,4203507.52000000,164695440.14670000,0
2022-08-04,38.54000000,39.85000000,37.96000000,38.83000000,4151096.90000000,2022-08-04 23:59:59.999,161519760.41730000,260009,2092883.90000000,81436188.39870000,0
2022-08-05,38.83000000,41.33000000,38.71000000,40.55000000,3510687.91000000,2022-08-05 23:59:59.999,140932183.65640000,264360,1802582.66000000,72360194.29330000,0
2022-08-06,40.55000000,40.89000000,39.85000000,40.07000000,1600652.00000000,2022-08-06 23:59:59.999,64746156.30280000,128622,778857.28000000,31514352.41430000,0
2022-08-07,40.07000000,41.57000000,39.21000000,40.60000000,1745897.70000000,2022-08-07 23:59:59.999,70500121.08930000,135772,909272.46000000,36731121.99770000,0
2022-08-08,40.60000000,43.71000000,40.55000000,42.18000000,3823749.60000000,2022-08-08 23:59:59.999,162376505.91030000,258577,1928977.54000000,81888459.73090000,0
2022-08-09,42.17000000,42.76000000,39.73000000,40.33000000,2832475.74000000,2022-08-09 23:59:59.999,116602997.68230000,205619,1405355.85000000,57855480.78760000,0
2022-08-10,40.34000000,42.87000000,39.15000000,42.47000000,4467794.94000000,2022-08-10 23:59:59.999,183638736.41220000,302235,2284159.93000000,93873999.71680000,0
2022-08-11,42.47000000,45.32000000,42.34000000,42.77000000,5808859.44000000,2022-08-11 23:59:59.999,255477156.20860000,383537,2966785.15000000,130522739.47630000,0
2022-08-12,42.78000000,45.49000000,42.12000000,45.48000000,3376989.68000000,2022-08-12 23:59:59.999,147076807.75030000,236989,1719528.02000000,74994857.81060000,0
2022-08-13,45.49000000,48.38000000,45.27000000,46.60000000,4706648.94000000,2022-08-13 23:59:59.999,221163601.13160000,385375,2405867.97000000,112996645.03830000,0
